,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,RL,65.0,8450.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,Gd,TA,PConc,Gd,TA,No,GLQ,6.561030665896573,Unf,12.24744871391589,856,GasA,Ex,Y,SBrkr,5.4090181804700554,5.405855935224774,6.4305634478069384,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,2003.0,RFn,2,243.69306446263187,TA,TA,Y,0.0,4.376131602797803,None,None,None,2,2008,WD,Normal,35.57127247747434
1,2,20,RL,80.0,9600.0,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,6.88653164253051,Unf,16.852299546352718,1262,GasA,Ex,Y,SBrkr,5.96025497245405,0.0,5.96025497245405,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,210.07130095734195,TA,TA,Y,4.612995309592042,0.0,None,None,None,5,2007,WD,Normal,34.69514501977524
2,3,60,RL,68.0,11250.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.18826412308259,Unf,20.83266665599966,920,GasA,Ex,Y,SBrkr,5.507404268455894,5.424746808757467,6.500853268474137,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,266.13413119927077,TA,TA,Y,0.0,3.9672787441416606,None,None,None,9,2008,WD,Normal,36.01712445323898
3,4,70,RL,60.0,9550.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,5.37989735354046,Unf,23.2379000772445,756,GasA,Gd,Y,SBrkr,5.5677643628300215,5.243610795028083,6.437134355456729,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,278.6974763930034,TA,TA,Y,0.0,3.7702702807069937,None,None,None,2,2006,WD,Abnorml,33.10367550849373
4,5,60,RL,84.0,14260.0,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,Gd,TA,PConc,Gd,TA,Av,GLQ,6.486160788944089,Unf,22.135943621178654,1145,GasA,Ex,Y,SBrkr,5.817030912018369,5.696486766347825,6.847103962911923,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,348.5863693109739,TA,TA,Y,4.326082637343479,4.732046884478141,None,None,None,12,2008,WD,Normal,36.7461755522829
5,6,50,RL,85.0,14115.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,6.597145701886651,Unf,8.0,796,GasA,Ex,Y,SBrkr,5.3116355258368175,4.877576704342089,6.074971948453085,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,1993.0,Unf,2,217.79375748991595,TA,TA,Y,3.2293562672694875,3.605234197617762,None,MnPrv,Shed,10,2009,WD,Normal,33.23131605005329
6,7,20,RL,75.0,10084.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,Gd,TA,PConc,Ex,TA,Av,GLQ,7.222566018822171,Unf,17.804493814764857,1686,GasA,Ex,Y,SBrkr,6.415468124347073,0.0,6.415468124347073,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,276.4880311959868,TA,TA,Y,4.512336758462078,4.301304523695221,None,None,None,8,2007,WD,Normal,38.11505870209259
7,8,60,RL,70.04995836802665,10382.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,14.696938456699069,1107,GasA,Ex,Y,SBrkr,5.768154775942498,5.599359857446364,6.761399100973839,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,219.33223283914836,TA,TA,Y,4.459117754449543,5.5318970075047895,None,None,Shed,11,2009,WD,Normal,35.306394785791475
8,9,50,RM,51.0,6120.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,30.854497241083024,952,GasA,Gd,Y,FuseF,5.654090088271636,5.236660997391771,6.48990596059029,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,213.1663780105019,Fa,TA,Y,3.81015162920824,0.0,None,None,None,4,2008,WD,Abnorml,32.656165222161036
9,10,190,RL,50.0,7420.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,6.747586526829315,Unf,11.832159566199232,991,GasA,Ex,Y,SBrkr,5.728671587972545,0.0,5.728671587972545,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,105.73737364644192,Gd,TA,Y,0.0,1.6464087576857898,None,None,None,1,2008,WD,Normal,32.0893149057402
10,11,20,RL,70.0,11200.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.810142450115136,Unf,11.575836902790225,1040,GasA,Ex,Y,SBrkr,5.678823028867355,0.0,5.678823028867355,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1965.0,Unf,1,180.22742984167394,TA,TA,Y,0.0,0.0,None,None,None,2,2008,WD,Normal,32.637841772228796
11,12,60,RL,85.0,11924.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,13.30413469565007,1175,GasA,Ex,Y,SBrkr,5.863465432262918,5.8132168803023,6.943189697305972,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,312.9165752360833,TA,TA,Y,4.147307861820881,3.229341180888675,None,None,None,7,2006,New,Partial,38.81228886815089
12,13,20,RL,70.04995836802665,12968.0,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,13.228756555322953,912,GasA,TA,Y,SBrkr,5.495392410108945,0.0,5.495392410108945,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1962.0,Unf,1,167.39579664905668,TA,TA,Y,4.114283060574215,0.0,None,None,None,9,2008,WD,Normal,33.27335803178764
13,14,20,RL,91.0,10652.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,38.65229618017538,1494,GasA,Ex,Y,SBrkr,6.217097086275505,0.0,6.217097086275505,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,349.9989465740142,TA,TA,Y,4.204400048564903,3.707103402096904,None,None,None,8,2007,New,Partial,37.484305708562516
14,15,20,RL,70.04995836802665,10920.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,22.80350850198276,1253,GasA,TA,Y,SBrkr,5.9495999899872025,0.0,5.9495999899872025,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,167.39579664905668,TA,TA,Y,0.0,5.5318970075047895,None,GdWo,None,5,2008,WD,Normal,33.7985081353909
15,16,45,RM,51.0,6120.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,28.844410203711913,832,GasA,Ex,Y,FuseA,5.405855935224774,0.0,5.405855935224774,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1991.0,Unf,2,254.2103871974599,TA,TA,Y,3.3623190109862753,5.0559624771221126,None,GdPrv,None,7,2007,WD,Normal,32.75158503730848
16,17,20,RL,70.04995836802665,11241.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,20.639767440550294,1004,GasA,Ex,Y,SBrkr,5.6290282496635,0.0,5.6290282496635,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,217.79375748991595,TA,TA,Y,0.0,0.0,None,None,Shed,3,2010,WD,Normal,33.47992423957189
