2025-05-10 17:12:23,711 INFO    MainThread:42840 [wandb_init.py:setup_run_log_directory():724] Logging user logs to c:\Users\ASUS\Desktop\Mlop prj\wandb\run-20250510_171223-iw49e0n1\logs\debug.log
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to c:\Users\ASUS\Desktop\Mlop prj\wandb\run-20250510_171223-iw49e0n1\logs\debug-internal.log
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:monkeypatch_ipython():643] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000025388B001A0>
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:init():852] calling init triggers
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:init():893] starting backend
2025-05-10 17:12:23,712 INFO    MainThread:42840 [wandb_init.py:init():897] sending inform_init request
2025-05-10 17:12:23,714 INFO    MainThread:42840 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-10 17:12:23,714 INFO    MainThread:42840 [wandb_init.py:init():907] backend started and connected
2025-05-10 17:12:23,719 INFO    MainThread:42840 [wandb_run.py:_label_probe_notebook():1376] probe notebook
2025-05-10 17:12:23,975 INFO    MainThread:42840 [wandb_run.py:_label_probe_notebook():1386] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 69073914: character maps to <undefined>
2025-05-10 17:12:23,988 INFO    MainThread:42840 [wandb_init.py:init():1005] updated telemetry
2025-05-10 17:12:24,047 INFO    MainThread:42840 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-10 17:12:24,710 INFO    MainThread:42840 [wandb_init.py:init():1104] starting run threads in backend
2025-05-10 17:12:24,853 INFO    MainThread:42840 [wandb_run.py:_console_start():2573] atexit reg
2025-05-10 17:12:24,853 INFO    MainThread:42840 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-10 17:12:24,853 INFO    MainThread:42840 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-10 17:12:24,853 INFO    MainThread:42840 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-10 17:12:24,854 INFO    MainThread:42840 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-10 17:12:28,243 INFO    MainThread:42840 [wandb_run.py:_finish():2321] finishing run kngocun-/predict_house_price/iw49e0n1
2025-05-10 17:12:28,244 INFO    MainThread:42840 [jupyter.py:save_ipynb():401] not saving jupyter notebook
2025-05-10 17:12:28,245 INFO    MainThread:42840 [wandb_init.py:_jupyter_teardown():628] cleaning up jupyter logic
2025-05-10 17:12:28,245 INFO    MainThread:42840 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-10 17:12:28,245 INFO    MainThread:42840 [wandb_run.py:_restore():2520] restore
2025-05-10 17:12:28,245 INFO    MainThread:42840 [wandb_run.py:_restore():2526] restore done
2025-05-10 17:12:30,161 INFO    MainThread:42840 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-10 17:12:30,161 INFO    MainThread:42840 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-10 17:12:30,161 INFO    MainThread:42840 [wandb_run.py:_footer_sync_info():4149] logging synced files
